fitness,lr0,lrf,weight_decay,cls,box,dfl,scale
0.02039,0.01,0.1,0.0005,0.5,0.15,1.5,0.2
0.02211,0.00993,0.1005,0.00049,0.5,0.15,1.5,0.2
0.02216,0.00899,0.12618,0.0005,0.54929,0.14498,1.5,0.15329
0.02215,0.00899,0.11657,0.00047,0.51555,0.15,1.13243,0.13143
0.0168,0.00992,0.10358,0.00049,0.5,0.15,1.46733,0.19866
0.01985,0.00961,0.1,0.00042,0.5,0.15,1.41449,0.18353
0.02529,0.00786,0.10564,0.0005,0.5,0.15,1.34909,0.13976
0.01745,0.00834,0.10696,0.0005,0.5,0.13249,1.20528,0.12935
0.02003,0.00917,0.14198,0.00037,0.5,0.14498,1.5,0.13356
0.01394,0.00993,0.1,0.0005,0.52147,0.15,1.5,0.2
0.00748,0.00978,0.1,0.0005,0.5,0.14356,1.5,0.2
0.02188,0.00777,0.10564,0.00049,0.50756,0.15,1.32613,0.13683
0.01319,0.01,0.12618,0.00046,0.50232,0.15,1.5,0.12818
0.02846,0.00782,0.10306,0.0005,0.5,0.14465,1.02314,0.14115
0.0215,0.00782,0.10306,0.00037,0.5,0.11276,1.02314,0.15537
0.02588,0.00761,0.10564,0.00048,0.5,0.15,1.31318,0.14461
0.02551,0.00721,0.1,0.0005,0.5,0.139,1.34535,0.10799
0.02999,0.00721,0.10623,0.00046,0.54152,0.12121,1.4788,0.0997
0.04384,0.00461,0.11257,0.00046,0.5,0.15,0.918,0.09727
0.037,0.00461,0.12436,0.00046,0.5,0.15,0.89766,0.09335
0.02325,0.00782,0.1,0.00047,0.52454,0.14465,0.91904,0.12073
0.02826,0.00489,0.10215,0.00044,0.65526,0.15,0.89404,0.09351
0.01954,0.00461,0.11492,0.00045,0.50008,0.14828,0.90678,0.09727
0.04576,0.00367,0.13923,0.00033,0.5,0.13301,0.85643,0.08564
0.0314,0.00448,0.1205,0.00046,0.5,0.15,0.86946,0.09335
0.03262,0.00557,0.1,0.00043,0.5,0.12558,0.91047,0.09987
0.04759,0.00481,0.1246,0.0005,0.5,0.13977,0.98579,0.08238
0.03394,0.00483,0.14255,0.0005,0.52583,0.12587,0.72517,0.09951
0.04964,0.00367,0.13923,0.0003,0.5,0.11514,0.75426,0.08655
