fitness,lr0,lrf,weight_decay,cls,box,dfl,scale,degrees,shear,fliplr
0.0252,0.005,0.015,0.0003,0.5,0.16,1.0,0.15,0.0,0.0,0.5
0.0235,0.005,0.01533,0.0003,0.50066,0.15456,1.0,0.15,0.0,0.0,0.5
0.02985,0.005,0.01504,0.00019,0.5,0.13908,0.75003,0.15,0.0,0.0,0.5
0.02289,0.00498,0.01504,0.00019,0.5,0.14327,0.75003,0.14941,0.0,0.0,0.5
0.01448,0.00434,0.01539,0.00019,0.56361,0.13908,0.59581,0.14476,0.0,0.0,0.5
0.02192,0.00428,0.015,0.0003,0.5,0.14709,0.98395,0.15,0.0,0.0,0.5
0.02626,0.00471,0.015,0.00019,0.5,0.14413,0.71338,0.15,0.0,0.0,0.47478
0.02295,0.00477,0.01511,0.00015,0.54236,0.10851,0.75003,0.15,0.0,0.0,0.5
0.02484,0.00471,0.015,0.00021,0.56076,0.14413,0.65666,0.15,0.0,0.0,0.4694
0.01775,0.005,0.01793,0.00016,0.5,0.13658,0.92308,0.15,0.0,0.0,0.46199
0.02429,0.005,0.01504,0.00019,0.5,0.13908,0.7452,0.15,0.0,0.0,0.5
0.02988,0.005,0.01504,0.00021,0.5,0.14285,0.7755,0.1336,0.0,0.0,0.48402
0.02103,0.005,0.015,0.00015,0.60684,0.14642,0.65843,0.15,0.0,0.0,0.5
0.01656,0.005,0.01674,0.0002,0.5,0.16,0.88832,0.14183,0.0,0.0,0.5
0.02786,0.005,0.01504,0.00021,0.5,0.08,0.90513,0.09512,0.0,0.0,0.33075
0.02485,0.005,0.015,0.00019,0.50348,0.13908,0.78647,0.13051,0.0,0.0,0.5
0.01846,0.005,0.015,0.00019,0.5,0.14017,0.73969,0.15,0.0,0.0,0.5
0.0265,0.00459,0.015,0.00022,0.5,0.14285,0.80794,0.13578,0.0,0.0,0.5
0.02677,0.005,0.01504,0.00025,0.5,0.16,0.7561,0.15,0.0,0.0,0.5
0.02002,0.005,0.01541,0.00023,0.65047,0.14285,0.91688,0.09926,0.0,0.0,0.5
0.01833,0.005,0.01511,0.00022,0.5,0.12348,0.64341,0.13228,0.0,0.0,0.5
0.02903,0.00428,0.015,0.00028,0.5,0.15329,0.72963,0.14992,0.0,0.0,0.5
0.01777,0.005,0.015,0.00019,0.5,0.12928,0.75003,0.1215,0.0,0.0,0.5
0.0274,0.005,0.015,0.00021,0.5,0.14285,0.77995,0.13251,0.0,0.0,0.48375
0.02272,0.005,0.015,0.00021,0.51149,0.13908,0.75597,0.15,0.0,0.0,0.40934
0.02064,0.005,0.01523,0.00022,0.5,0.12664,0.80425,0.11938,0.0,0.0,0.5
0.01934,0.005,0.015,0.00021,0.5,0.13924,0.83921,0.11118,0.0,0.0,0.4509
0.01354,0.00488,0.015,0.00018,0.51571,0.16,0.75003,0.14093,0.0,0.0,0.5
0.02677,0.0043,0.015,0.00028,0.5,0.15449,0.74045,0.14909,0.0,0.0,0.49946
0.02836,0.00439,0.01698,0.00026,0.5,0.15329,0.75442,0.12033,0.0,0.0,0.47177
0.02146,0.00493,0.015,0.00021,0.53957,0.16,0.7755,0.14689,0.0,0.0,0.39693
0.02407,0.00456,0.01851,0.0002,0.58822,0.13908,0.75003,0.15,0.0,0.0,0.5
0.02736,0.00495,0.015,0.00019,0.5,0.14031,0.73621,0.15,0.0,0.0,0.5
0.02607,0.005,0.01504,0.00018,0.5,0.16,0.86899,0.10769,0.0,0.0,0.5
0.02946,0.00396,0.0156,0.00028,0.54223,0.16,0.67344,0.13469,0.0,0.0,0.42395
0.03753,0.00377,0.01555,0.00028,0.53325,0.15329,0.76103,0.14992,0.0,0.0,0.38797
0.02363,0.00428,0.01555,0.0003,0.65836,0.14997,0.76103,0.15,0.0,0.0,0.38892
0.03417,0.00382,0.01545,0.00028,0.52822,0.15329,0.76156,0.14899,0.0,0.0,0.3805
0.02298,0.00382,0.01519,0.00028,0.52822,0.15123,0.76643,0.14905,0.0,0.0,0.38378
0.03694,0.00303,0.01792,0.00027,0.60526,0.1451,0.64389,0.15,0.0,0.0,0.40822
0.041,0.00308,0.01855,0.00027,0.6325,0.14938,0.64389,0.15,0.0,0.0,0.39537
0.0255,0.00308,0.01973,0.0003,0.85407,0.16,0.66644,0.10753,0.0,0.0,0.39537
0.03768,0.00303,0.01931,0.0003,0.57725,0.15992,0.61607,0.15,0.0,0.0,0.41774
0.04575,0.00297,0.01725,0.0003,0.54923,0.1384,0.5073,0.15,0.0,0.0,0.42056
0.03678,0.00302,0.01852,0.00028,0.62525,0.15182,0.64636,0.15,0.0,0.0,0.39871
0.03268,0.0031,0.01855,0.00026,0.6325,0.14114,0.67677,0.14986,0.0,0.0,0.40286
0.02168,0.00445,0.015,0.00028,0.5,0.15329,0.70416,0.14296,0.0,0.0,0.37321
0.0435,0.00297,0.01828,0.0002,0.52978,0.13762,0.5,0.11993,0.0,0.0,0.46456
0.04193,0.00297,0.01957,0.00021,0.50951,0.13921,0.5,0.134,0.0,0.0,0.46456
0.03081,0.00299,0.01957,0.00021,0.50951,0.13844,0.5,0.13299,0.0,0.0,0.46923
0.03953,0.00272,0.01894,0.0002,0.51567,0.1444,0.5,0.11993,0.0,0.0,0.48792
0.01824,0.00308,0.01855,0.00027,0.6326,0.14936,0.64372,0.15,0.0,0.0,0.39547
0.03754,0.00297,0.01732,0.0003,0.5,0.16,0.50097,0.13011,0.0,0.0,0.5
0.04428,0.00314,0.01836,0.00022,0.50951,0.13921,0.5026,0.13744,0.0,0.0,0.48349
0.04342,0.00297,0.01725,0.0003,0.5,0.1142,0.5,0.14161,0.0,0.0,0.3031
0.03687,0.00302,0.01771,0.00022,0.50531,0.16,0.5,0.11737,0.0,0.0,0.47416
0.04208,0.00297,0.01741,0.0003,0.51095,0.11406,0.5,0.14014,0.0,0.0,0.31228
0.04435,0.00354,0.015,0.0003,0.53235,0.1384,0.5,0.15,0.0,0.0,0.42056
0.04798,0.00279,0.02089,0.0002,0.5,0.1384,0.5073,0.14772,0.0,0.0,0.27099
0.03341,0.00354,0.015,0.00029,0.52988,0.14295,0.53924,0.14381,0.0,0.0,0.4062
0.02746,0.0032,0.015,0.00023,0.52263,0.12419,0.5,0.15,0.0,0.0,0.41233
0.03215,0.00338,0.015,0.00025,0.5,0.16,0.50098,0.15,0.0,0.0,0.27051
0.02869,0.00305,0.01836,0.00017,0.60041,0.14864,0.5,0.13744,0.0,0.0,0.49571
0.03428,0.00356,0.015,0.0003,0.52455,0.13686,0.5,0.15,0.0,0.0,0.42784
0.03368,0.00314,0.01645,0.00022,0.5,0.13259,0.5524,0.13744,0.0,0.0,0.45248
0.04072,0.00279,0.02141,0.0002,0.52716,0.14169,0.52017,0.15,0.0,0.0,0.27415
0.02839,0.00314,0.02071,0.00022,0.55638,0.13921,0.5501,0.13744,0.0,0.0,0.48349
0.05475,0.00278,0.01868,0.0003,0.50438,0.11501,0.5073,0.15,0.0,0.0,0.42056
0.03965,0.00346,0.01565,0.0003,0.67816,0.13343,0.55782,0.15,0.0,0.0,0.47557
0.04076,0.00301,0.01725,0.00028,0.68936,0.1459,0.54916,0.15,0.0,0.0,0.37207
0.04771,0.0027,0.01846,0.0003,0.50438,0.11339,0.5,0.15,0.0,0.0,0.4206
0.0353,0.0029,0.01932,0.0003,0.51199,0.1184,0.5,0.15,0.0,0.0,0.43702
0.01781,0.00305,0.01919,0.0002,0.53886,0.1384,0.51973,0.15,0.0,0.0,0.27099
0.04016,0.00296,0.01868,0.0003,0.50438,0.12709,0.51763,0.12717,0.0,0.0,0.34379
0.04263,0.00281,0.02072,0.0002,0.5,0.13762,0.50926,0.14772,0.0,0.0,0.274
0.05357,0.00279,0.02093,0.0002,0.50058,0.13854,0.50873,0.1492,0.0,0.0,0.27099
0.04398,0.00277,0.01861,0.0003,0.50438,0.11446,0.5062,0.15,0.0,0.0,0.41483
0.04441,0.00282,0.02093,0.0002,0.5,0.13787,0.51386,0.14951,0.0,0.0,0.26454
0.04096,0.00263,0.02325,0.0003,0.5,0.11775,0.5073,0.09629,0.0,0.0,0.40998
0.04383,0.00286,0.0182,0.0003,0.51845,0.11501,0.5,0.15,0.0,0.0,0.4534
0.04858,0.00269,0.01868,0.00018,0.52633,0.11791,0.54649,0.15,0.0,0.0,0.36389
0.04536,0.0029,0.01945,0.0003,0.5,0.11523,0.50113,0.15,0.0,0.0,0.41347
0.03598,0.00262,0.0196,0.0003,0.50438,0.11074,0.5,0.144,0.0,0.0,0.45697
0.0505,0.00264,0.0161,0.00022,0.63522,0.1574,0.50873,0.1492,0.0,0.0,0.19652
0.0464,0.00278,0.01868,0.0003,0.51145,0.11532,0.57756,0.15,0.0,0.0,0.41119
0.03997,0.00278,0.01874,0.0003,0.5,0.11545,0.5073,0.14429,0.0,0.0,0.42303
0.02025,0.00379,0.01849,0.00027,0.5,0.11501,0.5,0.15,0.0,0.0,0.34245
0.06157,0.00218,0.0191,0.00019,0.56182,0.13854,0.5,0.1492,0.0,0.0,0.26347
0.04298,0.00251,0.02093,0.00022,0.5,0.13309,0.5,0.13598,0.0,0.0,0.24359
0.05033,0.00218,0.01963,0.00019,0.58475,0.15359,0.5,0.14157,0.0,0.0,0.26347
0.04778,0.00218,0.0217,0.00018,0.54035,0.16,0.5,0.14063,0.0,0.0,0.25978
0.04004,0.00262,0.015,0.0003,0.55238,0.10558,0.5,0.10279,0.0,0.0,0.4606
0.05544,0.00245,0.01987,0.00019,0.5,0.13681,0.5,0.1492,0.0,0.0,0.26347
0.0486,0.00226,0.01918,0.00024,0.5,0.14622,0.52467,0.1492,0.0,0.0,0.26838
0.05762,0.00218,0.01957,0.00013,0.5,0.12845,0.61014,0.15,0.0,0.0,0.34684
0.05848,0.00218,0.01801,0.00021,0.51254,0.16,0.61376,0.1492,0.0,0.0,0.26149
0.04625,0.00279,0.02514,0.00017,0.55963,0.16,0.5,0.15,0.0,0.0,0.35265
0.06052,0.00185,0.01889,0.00019,0.56182,0.13854,0.5,0.15,0.0,0.0,0.31613
0.03784,0.00234,0.01794,0.0002,0.56378,0.14621,0.54571,0.15,0.0,0.0,0.26347
0.04784,0.00218,0.01861,0.00014,0.5,0.12803,0.54215,0.14625,0.0,0.0,0.32984
0.0653,0.00218,0.0191,0.00021,0.6268,0.14999,0.51861,0.14295,0.0,0.0,0.26347
0.06243,0.00194,0.01575,0.00024,0.61798,0.13854,0.5,0.1492,0.0,0.0,0.37801
0.0558,0.00224,0.01908,0.00019,0.56419,0.13989,0.50703,0.14378,0.0,0.0,0.25815
0.06962,0.00196,0.01978,0.00019,0.56182,0.14631,0.5,0.15,0.0,0.0,0.26015
0.05205,0.00218,0.0191,0.00019,0.61799,0.1519,0.51861,0.13064,0.0,0.0,0.2193
0.05401,0.00205,0.0156,0.00023,0.71633,0.16,0.5522,0.14884,0.0,0.0,0.32381
0.04408,0.00291,0.0191,0.0003,0.6268,0.16,0.54606,0.14295,0.0,0.0,0.33834
0.06607,0.00218,0.02027,0.00022,0.55905,0.15027,0.5344,0.13077,0.0,0.0,0.26347
0.06229,0.00181,0.01893,0.00019,0.63423,0.14631,0.53997,0.13555,0.0,0.0,0.26946
0.04913,0.00196,0.01978,0.0002,0.60645,0.15919,0.5,0.15,0.0,0.0,0.26015
0.06533,0.00188,0.01921,0.00019,0.57821,0.15254,0.50786,0.15,0.0,0.0,0.24644
0.03651,0.00308,0.02027,0.00022,0.61748,0.15088,0.5344,0.11369,0.0,0.0,0.26347
0.06602,0.00193,0.02504,0.00019,0.5,0.13451,0.50786,0.15,0.0,0.0,0.28893
0.06572,0.00197,0.01943,0.00019,0.50393,0.13596,0.5,0.15,0.0,0.0,0.24902
0.0559,0.00196,0.0165,0.00018,0.55365,0.14473,0.5,0.15,0.0,0.0,0.26015
0.05067,0.00193,0.01962,0.00019,0.56182,0.14855,0.5,0.14849,0.0,0.0,0.25662
0.09308,0.00111,0.02015,0.00018,0.56182,0.16,0.5,0.13012,0.0,0.0,0.33352
0.10739,0.00111,0.02055,0.00019,0.56381,0.16,0.5,0.11111,0.0,0.0,0.3714
0.1062,0.00098,0.02329,0.00017,0.63387,0.16,0.55717,0.15,0.0,0.0,0.35461
0.06484,0.00199,0.0167,0.00022,0.54198,0.14955,0.5,0.15,0.0,0.0,0.25515
0.09961,0.00111,0.02055,0.0002,0.60631,0.14521,0.5,0.11622,0.0,0.0,0.3714
0.09853,0.00117,0.01985,0.00019,0.57648,0.16,0.5,0.11304,0.0,0.0,0.35651
0.10222,0.00097,0.02376,0.00017,0.63781,0.16,0.55875,0.14726,0.0,0.0,0.35837
0.09995,0.00112,0.02081,0.00018,0.52864,0.16,0.5,0.10793,0.0,0.0,0.35434
0.1078,0.00111,0.02055,0.00018,0.54743,0.14544,0.5,0.12599,0.0,0.0,0.32835
0.09624,0.00132,0.02086,0.00016,0.65593,0.13807,0.5,0.15,0.0,0.0,0.33134
0.10701,0.00116,0.015,0.00022,0.54743,0.15292,0.65057,0.15,0.0,0.0,0.24499
0.09541,0.00115,0.015,0.00022,0.54743,0.15376,0.64364,0.15,0.0,0.0,0.24499
0.11207,0.00114,0.02013,0.00018,0.57878,0.16,0.50928,0.10352,0.0,0.0,0.37619
0.1045,0.00113,0.02177,0.00016,0.54712,0.15848,0.5,0.09884,0.0,0.0,0.40366
0.07681,0.00135,0.02504,0.00022,0.5,0.16,0.50928,0.10427,0.0,0.0,0.34703
