fitness,lr0,lrf,weight_decay,cls,box,dfl,scale,fliplr
0.20391,0.0005,0.01145,0.00012,0.4,0.13414,0.67779,0.05098,0.22748
0.21499,0.00044,0.0132,0.00011,0.4,0.13414,0.67779,0.04504,0.20621
0.20165,0.00042,0.01228,0.00011,0.39626,0.12949,0.71342,0.04621,0.18233
0.20659,0.00042,0.0132,0.00011,0.4251,0.13525,0.67779,0.04484,0.20609
0.22893,0.00045,0.01421,0.00011,0.4,0.13613,0.73565,0.04891,0.20856
0.19897,0.00045,0.01431,0.00011,0.40813,0.13573,0.73441,0.0489,0.21031
0.20787,0.00044,0.01469,0.00011,0.4,0.13956,0.74241,0.05131,0.2218
0.20514,0.00043,0.01201,0.00013,0.4251,0.13525,0.55976,0.03354,0.20609
0.21481,0.00045,0.01212,0.00011,0.4067,0.12616,0.64007,0.04863,0.20665
0.23263,0.00046,0.01122,0.0001,0.35865,0.13224,0.67471,0.04808,0.16081
0.20584,0.0005,0.01235,9e-05,0.34374,0.13266,0.69082,0.04808,0.16081
0.22222,0.00045,0.0141,0.0001,0.40997,0.15782,0.67619,0.04245,0.20856
0.21305,0.0005,0.01251,9e-05,0.36751,0.13613,0.73565,0.04891,0.21523
0.20958,0.00045,0.01536,0.0001,0.33883,0.12934,0.74053,0.03911,0.22333
0.20352,0.00041,0.01263,9e-05,0.50595,0.12525,0.73565,0.05049,0.20216
0.20788,0.00045,0.01421,0.00011,0.4,0.14148,0.64854,0.04891,0.19488
0.20369,0.00042,0.0147,0.0001,0.28117,0.15782,0.44027,0.04189,0.21356
0.21154,0.00045,0.01421,0.00011,0.4,0.13613,0.73565,0.05037,0.22757
0.19424,0.00048,0.01006,0.00011,0.35865,0.13469,0.76037,0.05008,0.16081
0.21374,0.00035,0.01122,0.0001,0.28929,0.12536,0.67471,0.03961,0.15
0.21295,0.0005,0.01721,0.0001,0.40997,0.12102,0.78048,0.01915,0.20856
0.223,0.00045,0.01527,0.00011,0.40618,0.13463,0.69983,0.04327,0.20056
0.20819,0.00045,0.01842,9e-05,0.36225,0.1829,0.81686,0.04327,0.20056
0.21387,0.00045,0.01147,0.0001,0.38286,0.13224,0.65093,0.04659,0.15627
0.19855,0.00045,0.01067,0.0001,0.36784,0.11663,0.61409,0.05017,0.16081
0.21191,0.00048,0.01122,0.0001,0.33762,0.1354,0.64177,0.03916,0.18809
0.20854,0.00044,0.01152,0.00013,0.4,0.12319,0.78967,0.06186,0.19026
0.2136,0.0005,0.01039,9e-05,0.29775,0.13786,0.9,0.04191,0.21958
0.21481,0.00047,0.01421,0.00012,0.44337,0.10815,0.62294,0.04513,0.26688
0.21955,0.00046,0.00978,0.00011,0.37987,0.14937,0.87137,0.04594,0.15
0.22057,0.00045,0.01527,0.00011,0.40618,0.12155,0.69446,0.04303,0.22253
0.21043,0.00046,0.00838,0.00011,0.2975,0.13224,0.77135,0.04808,0.15
0.20098,0.00045,0.01421,0.00011,0.40333,0.13613,0.75607,0.04949,0.20589
0.21196,0.00046,0.01143,0.0001,0.36094,0.13354,0.67243,0.04808,0.15207
0.2239,0.00047,0.01527,0.00013,0.40618,0.13341,0.69983,0.04327,0.21063
0.22164,0.00041,0.01421,0.00011,0.39044,0.16404,0.7371,0.04524,0.20573
0.20649,0.00045,0.01421,0.00011,0.42006,0.13613,0.73565,0.0575,0.1937
0.20675,0.0005,0.00905,0.00011,0.35865,0.1422,0.61155,0.03754,0.15
0.21373,0.00045,0.0168,9e-05,0.4,0.14134,0.70259,0.04656,0.21676
0.20202,0.00047,0.01316,9e-05,0.32015,0.15248,0.77646,0.04748,0.1728
