epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1682,0.05571,19.9711,0.84624,0.21657,0.08667,0.05327,0.01731,0.06219,2.47399,1.04726,0.0672058,0.00015155,0.00015155
2,50.6844,0.04816,2.17789,0.70771,0.43444,0.21333,0.21015,0.07346,0.04777,2.13364,0.74765,0.0340243,0.000303376,0.000303376
3,74.8927,0.04648,1.91534,0.69682,0.41801,0.17719,0.18266,0.07006,0.04532,1.922,0.74083,0.000841283,0.000453686,0.000453686
4,99.7547,0.04327,1.72706,0.67184,0.38077,0.24667,0.19814,0.06772,0.04693,1.79637,0.74087,0.000453177,0.000453177,0.000453177
5,124.717,0.04251,1.74911,0.67183,0.35815,0.27333,0.23176,0.07878,0.04912,1.8961,0.76407,0.000450903,0.000450903,0.000450903
6,149.849,0.04179,1.64547,0.65538,0.45724,0.21333,0.23986,0.07842,0.04575,1.72335,0.76599,0.000448629,0.000448629,0.000448629
7,174.456,0.04108,1.59502,0.6483,0.4478,0.37333,0.33225,0.12468,0.04371,1.5784,0.70122,0.000446355,0.000446355,0.000446355
8,199.743,0.03879,1.35825,0.61323,0.62038,0.32,0.37432,0.13,0.04423,2.04939,0.69751,0.000444081,0.000444081,0.000444081
9,223.915,0.03934,1.31996,0.62444,0.58306,0.32,0.35363,0.13152,0.04557,1.78838,0.69683,0.000441806,0.000441806,0.000441806
10,247.954,0.03932,1.33892,0.629,0.38129,0.37333,0.29556,0.11005,0.04606,1.82202,0.74636,0.000439532,0.000439532,0.000439532
11,271.951,0.03706,1.28822,0.59688,0.55638,0.34,0.36518,0.14932,0.04406,1.75643,0.70697,0.000437258,0.000437258,0.000437258
12,296.64,0.03714,1.21927,0.59845,0.51473,0.31333,0.33571,0.11296,0.04387,1.60505,0.71408,0.000434984,0.000434984,0.000434984
13,321.199,0.03595,1.17232,0.59548,0.6504,0.38667,0.42447,0.17172,0.04189,1.45768,0.69183,0.00043271,0.00043271,0.00043271
14,345.756,0.03629,1.14963,0.58292,0.45115,0.38,0.36915,0.13593,0.04358,1.51815,0.70797,0.000430435,0.000430435,0.000430435
15,370.568,0.03596,1.12108,0.57684,0.52424,0.33333,0.36192,0.15022,0.045,1.54615,0.7284,0.000428161,0.000428161,0.000428161
16,394.638,0.03449,1.15218,0.56812,0.67447,0.39333,0.41628,0.15579,0.0435,1.47471,0.70443,0.000425887,0.000425887,0.000425887
17,418.968,0.03567,1.07308,0.57735,0.49934,0.4056,0.40089,0.1583,0.04193,1.48376,0.70741,0.000423613,0.000423613,0.000423613
18,443.174,0.03337,1.02003,0.56834,0.50729,0.39812,0.40126,0.13581,0.04383,1.48303,0.71787,0.000421339,0.000421339,0.000421339
19,467.474,0.03515,1.0695,0.57008,0.43026,0.41333,0.35525,0.14222,0.04407,1.63438,0.70918,0.000419065,0.000419065,0.000419065
20,491.493,0.03166,0.94121,0.54624,0.64699,0.43333,0.44236,0.1649,0.04203,1.39483,0.69604,0.00041679,0.00041679,0.00041679
21,515.904,0.03389,0.96155,0.55942,0.63849,0.42667,0.44141,0.18628,0.04187,1.51381,0.69965,0.000414516,0.000414516,0.000414516
22,539.881,0.03257,0.92599,0.54938,0.61301,0.44,0.44666,0.17045,0.04216,1.53429,0.70045,0.000412242,0.000412242,0.000412242
23,564.469,0.03248,0.94829,0.54152,0.64106,0.42864,0.43722,0.16708,0.04223,1.46295,0.72274,0.000409968,0.000409968,0.000409968
24,588.366,0.03094,0.84188,0.53185,0.64687,0.45333,0.47286,0.17678,0.04397,1.45058,0.7364,0.000407694,0.000407694,0.000407694
25,612.243,0.03207,0.92294,0.5489,0.55101,0.42667,0.42081,0.15618,0.0434,1.45067,0.7118,0.000405419,0.000405419,0.000405419
26,636.423,0.03106,0.82495,0.53248,0.537,0.44073,0.44596,0.16586,0.04317,1.42697,0.72008,0.000403145,0.000403145,0.000403145
27,660.747,0.03225,0.8841,0.55331,0.52917,0.45707,0.46018,0.18091,0.04145,1.42336,0.69166,0.000400871,0.000400871,0.000400871
28,685.086,0.03088,0.86161,0.52577,0.64087,0.45333,0.45955,0.17509,0.04093,1.37331,0.70255,0.000398597,0.000398597,0.000398597
29,709.116,0.03029,0.79118,0.5282,0.58334,0.48667,0.45712,0.16145,0.04194,1.33369,0.7223,0.000396323,0.000396323,0.000396323
30,733.562,0.02881,0.77825,0.51443,0.64249,0.45529,0.45826,0.17145,0.04198,1.40372,0.71586,0.000394048,0.000394048,0.000394048
31,757.526,0.02989,0.83752,0.51488,0.58804,0.40921,0.4117,0.16998,0.04322,1.51786,0.73158,0.000391774,0.000391774,0.000391774
32,781.582,0.02938,0.80309,0.52754,0.61787,0.41333,0.44838,0.17106,0.04332,1.44313,0.73012,0.0003895,0.0003895,0.0003895
33,805.394,0.02992,0.78051,0.52558,0.61766,0.38,0.43275,0.15773,0.04451,1.66908,0.73402,0.000387226,0.000387226,0.000387226
34,829.528,0.02916,0.75081,0.51523,0.55588,0.37333,0.38765,0.15727,0.04247,1.55393,0.73034,0.000384952,0.000384952,0.000384952
35,853.786,0.02836,0.7701,0.50681,0.61025,0.39333,0.43112,0.16725,0.04317,1.4225,0.73137,0.000382677,0.000382677,0.000382677
36,877.564,0.02806,0.75935,0.51171,0.58896,0.43333,0.44075,0.18406,0.04276,1.40098,0.73644,0.000380403,0.000380403,0.000380403
37,901.445,0.02829,0.72853,0.49743,0.62959,0.41333,0.42848,0.16865,0.04377,1.4337,0.76634,0.000378129,0.000378129,0.000378129
38,925.278,0.02706,0.69793,0.5028,0.72134,0.38667,0.41798,0.15319,0.04556,1.68351,0.75932,0.000375855,0.000375855,0.000375855
39,949.026,0.02754,0.70037,0.50943,0.53112,0.41333,0.43395,0.16261,0.04377,1.69618,0.74164,0.000373581,0.000373581,0.000373581
40,973.019,0.02817,0.72585,0.50392,0.63758,0.46,0.4619,0.17603,0.04324,1.35283,0.73138,0.000371306,0.000371306,0.000371306
41,997.755,0.02695,0.68039,0.49281,0.5678,0.4,0.41515,0.17251,0.04521,1.59396,0.75592,0.000369032,0.000369032,0.000369032
42,1022.55,0.02667,0.69916,0.49165,0.64857,0.43333,0.46122,0.17793,0.04485,1.42352,0.77543,0.000366758,0.000366758,0.000366758
43,1046.27,0.02709,0.69079,0.48619,0.64401,0.34667,0.40159,0.16517,0.04603,1.63413,0.75949,0.000364484,0.000364484,0.000364484
44,1070.21,0.02613,0.6866,0.4807,0.57877,0.42,0.3888,0.15848,0.04441,1.58664,0.76162,0.00036221,0.00036221,0.00036221
45,1094.04,0.02709,0.67177,0.48389,0.61468,0.44,0.42226,0.16696,0.04476,1.4496,0.7735,0.000359935,0.000359935,0.000359935
46,1118.02,0.02786,0.67456,0.48823,0.61488,0.43333,0.4448,0.17669,0.04359,1.51227,0.7376,0.000357661,0.000357661,0.000357661
47,1141.72,0.02568,0.64773,0.48218,0.64435,0.38667,0.43986,0.18048,0.04376,1.63926,0.75362,0.000355387,0.000355387,0.000355387
48,1165.43,0.02583,0.64728,0.48439,0.66416,0.38,0.40733,0.15785,0.04746,1.69139,0.78303,0.000353113,0.000353113,0.000353113
49,1189.2,0.02566,0.65973,0.47416,0.7524,0.38492,0.44368,0.18338,0.04569,1.6552,0.78782,0.000350839,0.000350839,0.000350839
50,1213.17,0.02581,0.65879,0.48722,0.67345,0.36,0.44147,0.16835,0.04702,1.63278,0.79073,0.000348564,0.000348564,0.000348564
51,1237.03,0.0263,0.68518,0.49106,0.65275,0.38667,0.40936,0.1465,0.04676,1.55274,0.77339,0.00034629,0.00034629,0.00034629
52,1260.81,0.02457,0.62487,0.46249,0.55449,0.44667,0.4111,0.16235,0.04573,1.49463,0.77016,0.000344016,0.000344016,0.000344016
53,1284.76,0.02625,0.63928,0.47972,0.6815,0.36667,0.38882,0.1517,0.04483,1.48644,0.74763,0.000341742,0.000341742,0.000341742
54,1308.72,0.02526,0.61998,0.47085,0.59726,0.43333,0.41702,0.16802,0.04441,1.33124,0.79205,0.000339468,0.000339468,0.000339468
55,1332.52,0.02571,0.61293,0.4757,0.69755,0.43052,0.46315,0.17999,0.04471,1.36611,0.77903,0.000337194,0.000337194,0.000337194
56,1356.47,0.02475,0.62128,0.4764,0.66905,0.41333,0.43123,0.16548,0.04402,1.4197,0.74793,0.000334919,0.000334919,0.000334919
57,1380.2,0.02364,0.59849,0.46296,0.73407,0.41333,0.45622,0.17831,0.0447,1.52516,0.79881,0.000332645,0.000332645,0.000332645
58,1403.98,0.02401,0.57025,0.45759,0.66157,0.42667,0.451,0.18009,0.04483,1.5838,0.77184,0.000330371,0.000330371,0.000330371
59,1427.79,0.02304,0.57289,0.45634,0.76903,0.39333,0.45461,0.17359,0.04524,1.49583,0.79077,0.000328097,0.000328097,0.000328097
60,1451.67,0.02361,0.57059,0.46469,0.73185,0.41333,0.46164,0.17527,0.04482,1.46341,0.78655,0.000325823,0.000325823,0.000325823
61,1475.6,0.02339,0.57177,0.46711,0.57522,0.46,0.46726,0.17456,0.04818,1.44107,0.83793,0.000323548,0.000323548,0.000323548
62,1499.46,0.02284,0.55654,0.45026,0.57942,0.45333,0.45578,0.18305,0.04538,1.62192,0.8038,0.000321274,0.000321274,0.000321274
63,1523.24,0.02253,0.54617,0.4413,0.65289,0.41333,0.44024,0.17177,0.04521,1.55868,0.79147,0.000319,0.000319,0.000319
64,1547.04,0.02305,0.56815,0.46013,0.64485,0.43578,0.45123,0.18642,0.04396,1.53235,0.76552,0.000316726,0.000316726,0.000316726
